 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05     101       268  1.79999995E+00  2.00743461E+00  1.66017570E+00  4.18189260E-02  1.12477450E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  0.00000000E+00  1.60032073E+01
  9.97551960E-03  1.10563140E+00
  1.99520368E-02  1.12436761E+00
  2.99295517E-02  1.14135364E+00
  3.99080644E-02  1.15623603E+00
  4.98875750E-02  1.16944184E+00
  5.98680836E-02  1.18016970E+00
  6.98495903E-02  1.18942163E+00
  7.98320953E-02  1.19631163E+00
  8.98155985E-02  1.20193090E+00
  9.98001001E-02  1.20566904E+00
  1.09785600E-01  1.20817679E+00
  1.19772099E-01  1.20916997E+00
  1.29759596E-01  1.20862795E+00
  1.39748093E-01  1.20670241E+00
  1.49737588E-01  1.20382310E+00
  1.59728082E-01  1.20061788E+00
  1.69719575E-01  1.19673996E+00
  1.79712067E-01  1.19297144E+00
  1.89705559E-01  1.18864729E+00
  1.99700050E-01  1.18460930E+00
  2.09695541E-01  1.18009217E+00
  2.19692031E-01  1.17591541E+00
  2.29689521E-01  1.17132128E+00
  2.39688011E-01  1.16706524E+00
  2.49687500E-01  1.16244440E+00
  2.59687990E-01  1.15813480E+00
  2.69689479E-01  1.15350533E+00
  2.79691969E-01  1.14915115E+00
  2.89695460E-01  1.14451537E+00
  2.99699950E-01  1.14011721E+00
  3.09705441E-01  1.13546995E+00
  3.19711933E-01  1.13102444E+00
  3.29719425E-01  1.12635736E+00
  3.39727919E-01  1.12185960E+00
  3.49737413E-01  1.11716354E+00
  3.59747908E-01  1.11260844E+00
  3.69759404E-01  1.10787469E+00
  3.79771901E-01  1.10325779E+00
  3.89785400E-01  1.09847876E+00
  3.99799900E-01  1.09379663E+00
  4.09815402E-01  1.08896620E+00
  4.19831905E-01  1.08421664E+00
  4.29849410E-01  1.07933030E+00
  4.39867916E-01  1.07451228E+00
  4.49887425E-01  1.06956709E+00
  4.59907936E-01  1.06468064E+00
  4.69929448E-01  1.05967501E+00
  4.79951963E-01  1.05472091E+00
  4.89975480E-01  1.04965431E+00
  5.00000000E-01  1.04463368E+00
  5.10024520E-01  1.04069640E+00
  5.20048037E-01  1.03634896E+00
  5.30070552E-01  1.03204845E+00
  5.40092064E-01  1.02766058E+00
  5.50112575E-01  1.02321359E+00
  5.60132084E-01  1.01871324E+00
  5.70150590E-01  1.01414058E+00
  5.80168095E-01  1.00951676E+00
  5.90184598E-01  1.00481660E+00
  6.00200100E-01  1.00006161E+00
  6.10214600E-01  9.95226845E-01
  6.20228099E-01  9.90329500E-01
  6.30240596E-01  9.85348614E-01
  6.40252092E-01  9.80292597E-01
  6.50262587E-01  9.75148716E-01
  6.60272081E-01  9.69911193E-01
  6.70280575E-01  9.64580690E-01
  6.80288067E-01  9.59130640E-01
  6.90294559E-01  9.53581303E-01
  7.00300050E-01  9.47877268E-01
  7.10304540E-01  9.42065834E-01
  7.20308031E-01  9.36052773E-01
  7.30310521E-01  9.29921446E-01
  7.40312010E-01  9.23526185E-01
  7.50312500E-01  9.16997585E-01
  7.60311989E-01  9.10122038E-01
  7.70310479E-01  9.03091594E-01
  7.80307969E-01  8.95602348E-01
  7.90304459E-01  8.87926486E-01
  8.00299950E-01  8.79638295E-01
  8.10294441E-01  8.71115453E-01
  8.20287933E-01  8.61764074E-01
  8.30280425E-01  8.52102908E-01
  8.40271918E-01  8.41298448E-01
  8.50262412E-01  8.30062091E-01
  8.60251907E-01  8.17204661E-01
  8.70240404E-01  8.03707330E-01
  8.80227901E-01  7.87824953E-01
  8.90214400E-01  7.70926988E-01
  9.00199900E-01  7.50340681E-01
  9.10184402E-01  7.28008725E-01
  9.20167905E-01  6.99580355E-01
  9.30150410E-01  6.67855918E-01
  9.40131916E-01  6.25157258E-01
  9.50112425E-01  5.75558578E-01
  9.60091936E-01  5.04489584E-01
  9.70070448E-01  4.18401851E-01
  9.80047963E-01  2.95407328E-01
  9.90024480E-01  1.54873944E-01
  1.00000000E+00  0.00000000E+00
