 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
 # 9.99999975E-05   10001     10000  3.75000000E+00  3.88851095E+00  2.43352343E+00  4.05441345E-02  1.34744846E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  1.23528227E-02  1.55671097E+00
  1.24311366E-02  1.55680266E+00
  1.25094584E-02  1.55689425E+00
  1.25877879E-02  1.55698576E+00
  1.26661253E-02  1.55707717E+00
  1.27444706E-02  1.55716849E+00
  1.28228236E-02  1.55725972E+00
  1.29011845E-02  1.55735085E+00
  1.29795533E-02  1.55744189E+00
  1.30579299E-02  1.55753284E+00
  1.31363143E-02  1.55762370E+00
  1.32147065E-02  1.55771446E+00
  1.32931066E-02  1.55780513E+00
  1.33715146E-02  1.55789571E+00
  1.34499303E-02  1.55798619E+00
  1.35283540E-02  1.55807659E+00
  1.36067854E-02  1.55816688E+00
  1.36852247E-02  1.55825709E+00
  1.37636719E-02  1.55834720E+00
  1.38421269E-02  1.55843722E+00
  1.39205897E-02  1.55852715E+00
  1.39990604E-02  1.55861698E+00
  1.40775389E-02  1.55870673E+00
  1.41560253E-02  1.55879637E+00
  1.42345196E-02  1.55888593E+00
  1.43130216E-02  1.55897539E+00
  1.43915316E-02  1.55906476E+00
  1.44700494E-02  1.55915403E+00
  1.45485750E-02  1.55924321E+00
  1.46271085E-02  1.55933230E+00
  1.47056498E-02  1.55942130E+00
  1.47841990E-02  1.55951020E+00
  1.48627561E-02  1.55959901E+00
  1.49413210E-02  1.55968772E+00
  1.50198937E-02  1.55977634E+00
  1.50984744E-02  1.55986487E+00
  1.51770628E-02  1.55995330E+00
  1.52556592E-02  1.56004165E+00
  1.53342634E-02  1.56012989E+00
  1.54128754E-02  1.56021805E+00
  1.54914954E-02  1.56030611E+00
  1.55701232E-02  1.56039407E+00
  1.56487588E-02  1.56048194E+00
  1.57274023E-02  1.56056972E+00
  1.58060537E-02  1.56065741E+00
  1.58847129E-02  1.56074500E+00
  1.59633800E-02  1.56083250E+00
  1.60420550E-02  1.56091990E+00
  1.61207379E-02  1.56100721E+00
  1.61994286E-02  1.56109442E+00
  1.62781272E-02  1.56118155E+00
  1.63568336E-02  1.56126857E+00
  1.64355479E-02  1.56135551E+00
  1.65142701E-02  1.56144235E+00
  1.65930002E-02  1.56152909E+00
  1.66717381E-02  1.56161574E+00
  1.67504840E-02  1.56170230E+00
  1.68292377E-02  1.56178876E+00
  1.69079992E-02  1.56187513E+00
  1.69867687E-02  1.56196141E+00
  1.70655460E-02  1.56204759E+00
  1.71443312E-02  1.56213367E+00
  1.72231243E-02  1.56221967E+00
  1.73019252E-02  1.56230556E+00
  1.73807341E-02  1.56239137E+00
  1.74595508E-02  1.56247707E+00
  1.75383754E-02  1.56256269E+00
  1.76172079E-02  1.56264821E+00
  1.76960482E-02  1.56273363E+00
  1.77748965E-02  1.56281896E+00
  1.78537526E-02  1.56290420E+00
  1.79326166E-02  1.56298934E+00
  1.80114885E-02  1.56307439E+00
  1.80903683E-02  1.56315934E+00
  1.81692560E-02  1.56324420E+00
  1.82481516E-02  1.56332896E+00
  1.83270551E-02  1.56341363E+00
  1.84059664E-02  1.56349820E+00
  1.84848857E-02  1.56358268E+00
  1.85638128E-02  1.56366706E+00
  1.86427478E-02  1.56375135E+00
  1.87216908E-02  1.56383555E+00
  1.88006416E-02  1.56391965E+00
  1.88796003E-02  1.56400365E+00
  1.89585669E-02  1.56408756E+00
  1.90375414E-02  1.56417137E+00
  1.91165238E-02  1.56425509E+00
  1.91955141E-02  1.56433871E+00
  1.92745123E-02  1.56442224E+00
  1.93535185E-02  1.56450568E+00
  1.94325325E-02  1.56458901E+00
  1.95115544E-02  1.56467226E+00
  1.95905842E-02  1.56475541E+00
  1.96696219E-02  1.56483846E+00
  1.97486675E-02  1.56492142E+00
  1.98277210E-02  1.56500428E+00
  1.99067825E-02  1.56508704E+00
  1.99858518E-02  1.56516971E+00
  2.00649290E-02  1.56525229E+00
  2.01440142E-02  1.56533477E+00
  2.02231073E-02  1.56541716E+00
  2.03022082E-02  1.56549944E+00
  2.03813171E-02  1.56558164E+00
  2.04604339E-02  1.56566374E+00
  2.05395586E-02  1.56574574E+00
  2.06186912E-02  1.56582764E+00
  2.06978318E-02  1.56590946E+00
  2.07769802E-02  1.56599117E+00
  2.08561366E-02  1.56607279E+00
  2.09353008E-02  1.56615431E+00
  2.10144730E-02  1.56623574E+00
  2.10936531E-02  1.56631707E+00
  2.11728412E-02  1.56639831E+00
  2.12520371E-02  1.56647945E+00
  2.13312410E-02  1.56656049E+00
  2.14104528E-02  1.56664144E+00
  2.14896725E-02  1.56672230E+00
  2.15689001E-02  1.56680305E+00
  2.16481357E-02  1.56688371E+00
  2.17273792E-02  1.56696428E+00
  2.18066306E-02  1.56704474E+00
  2.18858899E-02  1.56712512E+00
  2.19651572E-02  1.56720539E+00
  2.20444323E-02  1.56728557E+00
  2.21237154E-02  1.56736565E+00
  2.22030065E-02  1.56744564E+00
  2.22823055E-02  1.56752553E+00
  2.23616124E-02  1.56760533E+00
  2.24409272E-02  1.56768502E+00
  2.25202500E-02  1.56776462E+00
  2.25995806E-02  1.56784413E+00
  2.26789193E-02  1.56792354E+00
  2.27582658E-02  1.56800285E+00
  2.28376203E-02  1.56808207E+00
  2.29169828E-02  1.56816118E+00
  2.29963531E-02  1.56824021E+00
  2.30757315E-02  1.56831913E+00
  2.31551177E-02  1.56839796E+00
  2.32345119E-02  1.56847669E+00
  2.33139140E-02  1.56855533E+00
  2.33933241E-02  1.56863387E+00
  2.34727421E-02  1.56871231E+00
  2.35521680E-02  1.56879065E+00
  2.36316019E-02  1.56886890E+00
  2.37110438E-02  1.56894705E+00
  2.37904936E-02  1.56902511E+00
  2.38699513E-02  1.56910306E+00
  2.39494170E-02  1.56918092E+00
  2.40288906E-02  1.56925869E+00
  2.41083721E-02  1.56933635E+00
  2.41878617E-02  1.56941392E+00
  2.42673591E-02  1.56949140E+00
  2.43468645E-02  1.56956877E+00
  2.44263779E-02  1.56964605E+00
  2.45058992E-02  1.56972323E+00
  2.45854285E-02  1.56980031E+00
  2.46649657E-02  1.56987730E+00
  2.47445109E-02  1.56995419E+00
  2.48240640E-02  1.57003098E+00
  2.49036251E-02  1.57010767E+00
  2.49831942E-02  1.57018427E+00
  2.50627712E-02  1.57026077E+00
  2.51423561E-02  1.57033717E+00
  2.52219490E-02  1.57041347E+00
  2.53015499E-02  1.57048968E+00
  2.53811588E-02  1.57056579E+00
  2.54607756E-02  1.57064180E+00
  2.55404003E-02  1.57071771E+00
  2.56200331E-02  1.57079353E+00
  2.56996737E-02  1.57086924E+00
  2.57793224E-02  1.57094486E+00
  2.58589790E-02  1.57102039E+00
  2.59386436E-02  1.57109581E+00
  2.60183162E-02  1.57117114E+00
  2.60979967E-02  1.57124637E+00
  2.61776852E-02  1.57132150E+00
  2.62573816E-02  1.57139653E+00
  2.63370861E-02  1.57147146E+00
  2.64167985E-02  1.57154630E+00
  2.64965188E-02  1.57162104E+00
  2.65762472E-02  1.57169568E+00
  2.66559835E-02  1.57177022E+00
  2.67357278E-02  1.57184467E+00
  2.68154800E-02  1.57191901E+00
  2.68952403E-02  1.57199326E+00
  2.69750085E-02  1.57206741E+00
  2.70547847E-02  1.57214146E+00
  2.71345689E-02  1.57221542E+00
  2.72143610E-02  1.57228927E+00
  2.72941611E-02  1.57236303E+00
  2.73739693E-02  1.57243669E+00
  2.74537853E-02  1.57251025E+00
  2.75336094E-02  1.57258371E+00
  2.76134415E-02  1.57265707E+00
  2.76932815E-02  1.57273033E+00
  2.77731295E-02  1.57280350E+00
  2.78529856E-02  1.57287657E+00
  2.79328495E-02  1.57294953E+00
  2.80127215E-02  1.57302240E+00
  2.80926015E-02  1.57309517E+00
  2.81724895E-02  1.57316785E+00
  2.82523854E-02  1.57324042E+00
  2.83322893E-02  1.57331289E+00
  2.84122013E-02  1.57338527E+00
  2.84921212E-02  1.57345755E+00
  2.85720491E-02  1.57352972E+00
  2.86519850E-02  1.57360180E+00
  2.87319289E-02  1.57367378E+00
  2.88118808E-02  1.57374566E+00
  2.88918407E-02  1.57381744E+00
  2.89718086E-02  1.57388913E+00
  2.90517845E-02  1.57396071E+00
  2.91317684E-02  1.57403219E+00
  2.92117602E-02  1.57410358E+00
  2.92917601E-02  1.57417486E+00
  2.93717680E-02  1.57424605E+00
  2.94517839E-02  1.57431714E+00
  2.95318078E-02  1.57438812E+00
  2.96118397E-02  1.57445901E+00
  2.96918795E-02  1.57452980E+00
  2.97719274E-02  1.57460049E+00
  2.98519833E-02  1.57467108E+00
  2.99320472E-02  1.57474157E+00
  3.00121192E-02  1.57481196E+00
  3.00921991E-02  1.57488225E+00
  3.01722870E-02  1.57495244E+00
  3.02523829E-02  1.57502254E+00
  3.03324869E-02  1.57509253E+00
  3.04125988E-02  1.57516242E+00
  3.04927188E-02  1.57523221E+00
  3.05728468E-02  1.57530191E+00
  3.06529828E-02  1.57537150E+00
  3.07331268E-02  1.57544099E+00
  3.08132788E-02  1.57551039E+00
  3.08934389E-02  1.57557968E+00
  3.09736069E-02  1.57564887E+00
  3.10537830E-02  1.57571797E+00
  3.11339671E-02  1.57578696E+00
  3.12141592E-02  1.57585585E+00
  3.12943593E-02  1.57592465E+00
  3.13745675E-02  1.57599334E+00
  3.14547837E-02  1.57606193E+00
  3.15350079E-02  1.57613042E+00
  3.16152401E-02  1.57619882E+00
  3.16954803E-02  1.57626711E+00
  3.17757286E-02  1.57633530E+00
  3.18559849E-02  1.57640339E+00
  3.19362492E-02  1.57647138E+00
  3.20165215E-02  1.57653927E+00
  3.20968019E-02  1.57660706E+00
  3.21770903E-02  1.57667475E+00
  3.22573867E-02  1.57674234E+00
  3.23376912E-02  1.57680983E+00
  3.24180037E-02  1.57687722E+00
  3.24983242E-02  1.57694450E+00
  3.25786527E-02  1.57701169E+00
  3.26589893E-02  1.57707878E+00
  3.27393340E-02  1.57714576E+00
  3.28196866E-02  1.57721264E+00
  3.29000473E-02  1.57727943E+00
  3.29804160E-02  1.57734611E+00
  3.30607928E-02  1.57741269E+00
  3.31411776E-02  1.57747917E+00
  3.32215704E-02  1.57754555E+00
  3.33019713E-02  1.57761183E+00
  3.33823802E-02  1.57767801E+00
  3.34627972E-02  1.57774408E+00
  3.35432222E-02  1.57781006E+00
  3.36236553E-02  1.57787593E+00
  3.37040964E-02  1.57794171E+00
  3.37845455E-02  1.57800738E+00
  3.38650027E-02  1.57807295E+00
  3.39454679E-02  1.57813842E+00
  3.40259412E-02  1.57820379E+00
  3.41064225E-02  1.57826905E+00
  3.41869119E-02  1.57833422E+00
  3.42674093E-02  1.57839928E+00
  3.43479148E-02  1.57846424E+00
  3.44284283E-02  1.57852910E+00
  3.45089499E-02  1.57859386E+00
  3.45894795E-02  1.57865852E+00
  3.46700172E-02  1.57872308E+00
  3.47505629E-02  1.57878753E+00
  3.48311167E-02  1.57885188E+00
  3.49116785E-02  1.57891613E+00
  3.49922484E-02  1.57898028E+00
  3.50728264E-02  1.57904433E+00
  3.51534124E-02  1.57910828E+00
  3.52340065E-02  1.57917212E+00
  3.53146086E-02  1.57923586E+00
  3.53952188E-02  1.57929950E+00
  3.54758371E-02  1.57936304E+00
