 ######################################################################
 #Data for Case=           1
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999978E-03     101      1492  1.28400002E+01  1.58939961E+01  6.27998644E+00  2.96583732E-01  2.96583732E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.74613659E-03  2.37850146E-01
  1.55701231E-02  2.56266013E-01
  2.34727421E-02  3.10502254E-01
  3.14547836E-02  3.19234728E-01
  3.95170461E-02  3.38183929E-01
  4.76603355E-02  3.45232728E-01
  5.58854665E-02  3.55592849E-01
  6.41932613E-02  3.61314033E-01
  7.25845509E-02  3.68431476E-01
  8.10601743E-02  3.73203495E-01
  8.96209792E-02  3.78707824E-01
  9.82678216E-02  3.82816085E-01
  1.07001566E-01  3.87370718E-01
  1.15823086E-01  3.91006323E-01
  1.24733264E-01  3.94941948E-01
  1.33732991E-01  3.98233269E-01
  1.42823166E-01  4.01739723E-01
  1.52004700E-01  4.04776100E-01
  1.61278509E-01  4.07973830E-01
  1.70645521E-01  4.10819962E-01
  1.80106674E-01  4.13791176E-01
  1.89662913E-01  4.16495678E-01
  1.99315193E-01  4.19299677E-01
  2.09064481E-01  4.21900287E-01
  2.18911750E-01  4.24581753E-01
  2.28857986E-01  4.27108607E-01
  2.38904184E-01  4.29702415E-01
  2.49051347E-01  4.32180170E-01
  2.59300492E-01  4.34714342E-01
  2.69652641E-01  4.37163566E-01
  2.80108832E-01  4.39661144E-01
  2.90670109E-01  4.42099238E-01
  3.01337529E-01  4.44579500E-01
  3.12112158E-01  4.47021293E-01
  3.22995074E-01  4.49500530E-01
  3.33987365E-01  4.51958651E-01
  3.45090130E-01  4.54450657E-01
  3.56304480E-01  4.56935749E-01
  3.67631536E-01  4.59452116E-01
  3.79072431E-01  4.61972945E-01
  3.90628309E-01  4.64523221E-01
  4.02300325E-01  4.67086736E-01
  4.14089647E-01  4.69678518E-01
  4.25997454E-01  4.72289921E-01
  4.38024936E-01  4.74928942E-01
  4.50173296E-01  4.77591813E-01
  4.62443749E-01  4.80282082E-01
  4.74837523E-01  4.82998642E-01
  4.87355856E-01  4.85742717E-01
  5.00000000E-01  4.88514267E-01
  5.12644144E-01  4.91285851E-01
  5.25162477E-01  4.94029878E-01
  5.37556251E-01  4.96746631E-01
  5.49826704E-01  4.99436872E-01
  5.61975064E-01  5.02100430E-01
  5.74002546E-01  5.04739647E-01
  5.85910353E-01  5.07352666E-01
  5.97699675E-01  5.09945198E-01
  6.09371691E-01  5.12511753E-01
  6.20927569E-01  5.15063738E-01
  6.32368464E-01  5.17589557E-01
  6.43695520E-01  5.20109041E-01
  6.54909870E-01  5.22601625E-01
  6.66012635E-01  5.25098634E-01
  6.77004926E-01  5.27567331E-01
  6.87887842E-01  5.30053958E-01
  6.98662471E-01  5.32510047E-01
  7.09329891E-01  5.35000624E-01
  7.19891168E-01  5.37457464E-01
  7.30347359E-01  5.39968879E-01
  7.40699508E-01  5.42442179E-01
  7.50948653E-01  5.44994397E-01
  7.61095816E-01  5.47502674E-01
  7.71142014E-01  5.50119572E-01
  7.81088250E-01  5.52684867E-01
  7.90935519E-01  5.55395516E-01
  8.00684807E-01  5.58044507E-01
  8.10337087E-01  5.60885129E-01
  8.19893326E-01  5.63650839E-01
  8.29354479E-01  5.66667865E-01
  8.38721491E-01  5.69592325E-01
  8.47995300E-01  5.72847286E-01
  8.57176834E-01  5.75985854E-01
  8.66267009E-01  5.79563569E-01
  8.75266736E-01  5.82992269E-01
  8.84176914E-01  5.87015385E-01
  8.92998434E-01  5.90844318E-01
  9.01732178E-01  5.95501141E-01
  9.10379021E-01  5.99901247E-01
  9.18939826E-01  6.05504520E-01
  9.27415449E-01  6.10767313E-01
  9.35806739E-01  6.17895494E-01
  9.44114534E-01  6.24587175E-01
  9.52339664E-01  6.34491056E-01
  9.60482954E-01  6.43939647E-01
  9.68545216E-01  6.60085486E-01
  9.76527258E-01  6.76509322E-01
  9.84429877E-01  7.14321232E-01
  9.92253863E-01  7.62149854E-01
  1.00000000E+00  1.00000000E+00
