#    y/2h      U/Ub
# 25
 .6893E-01 .6940E+00
 .9881E-01 .7175E+00
 .1374E+00 .7491E+00
 .1792E+00 .7704E+00
 .2162E+00 .7818E+00
 .2557E+00 .8012E+00
 .2966E+00 .8123E+00
 .3362E+00 .8215E+00
 .3807E+00 .8376E+00
 .4138E+00 .8501E+00
 .4545E+00 .8597E+00
 .4956E+00 .8688E+00
 .5310E+00 .8824E+00
 .5735E+00 .8916E+00
 .6133E+00 .9045E+00
 .6521E+00 .9166E+00
 .6898E+00 .9243E+00
 .7332E+00 .9309E+00
 .7723E+00 .9379E+00
 .8139E+00 .9423E+00
 .8559E+00 .9489E+00
 .8952E+00 .9600E+00
 .9311E+00 .9644E+00
 .9701E+00 .9761E+00
 .9858E+00 .9846E+00
