 ######################################################################
 #Data for Case=           4
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000000E-15     101      1124  1.28400002E+01  1.42257975E+01  8.91027334E+00  3.61355747E-01  1.75835084E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  1.00000000E-02  4.55820184E-01
  2.00000000E-02  4.64838654E-01
  3.00000000E-02  5.21388452E-01
  4.00000000E-02  5.30187077E-01
  5.00000000E-02  5.49776552E-01
  6.00000000E-02  5.57535740E-01
  7.00000000E-02  5.68619067E-01
  8.00000000E-02  5.74996128E-01
  9.00000000E-02  5.82772525E-01
  1.00000000E-01  5.88084194E-01
  1.10000000E-01  5.94138691E-01
  1.20000000E-01  5.98687227E-01
  1.30000000E-01  6.03688910E-01
  1.40000000E-01  6.07686617E-01
  1.50000000E-01  6.11983524E-01
  1.60000000E-01  6.15574718E-01
  1.70000000E-01  6.19372843E-01
  1.80000000E-01  6.22657547E-01
  1.90000000E-01  6.26089338E-01
  2.00000000E-01  6.29138884E-01
  2.10000000E-01  6.32294494E-01
  2.20000000E-01  6.35161147E-01
  2.30000000E-01  6.38104558E-01
  2.40000000E-01  6.40827485E-01
  2.50000000E-01  6.43605559E-01
  2.60000000E-01  6.46214630E-01
  2.70000000E-01  6.48862513E-01
  2.80000000E-01  6.51380782E-01
  2.90000000E-01  6.53925288E-01
  3.00000000E-01  6.56370657E-01
  3.10000000E-01  6.58832460E-01
  3.20000000E-01  6.61218821E-01
  3.30000000E-01  6.63613927E-01
  3.40000000E-01  6.65951970E-01
  3.50000000E-01  6.68292730E-01
  3.60000000E-01  6.70590533E-01
  3.70000000E-01  6.72886365E-01
  3.80000000E-01  6.75149847E-01
  3.90000000E-01  6.77407771E-01
  4.00000000E-01  6.79641064E-01
  4.10000000E-01  6.81866123E-01
  4.20000000E-01  6.84071886E-01
  4.30000000E-01  6.86267499E-01
  4.40000000E-01  6.88447222E-01
  4.50000000E-01  6.90615493E-01
  4.60000000E-01  6.92769779E-01
  4.70000000E-01  6.94911793E-01
  4.80000000E-01  6.97040646E-01
  4.90000000E-01  6.99156753E-01
  5.00000000E-01  7.01259858E-01
  5.10000000E-01  7.03349956E-01
  5.20000000E-01  7.05426954E-01
  5.30000000E-01  7.07490758E-01
  5.40000000E-01  7.09541502E-01
  5.50000000E-01  7.11578812E-01
  5.60000000E-01  7.13603604E-01
  5.70000000E-01  7.15614543E-01
  5.80000000E-01  7.17614345E-01
  5.90000000E-01  7.19599578E-01
  6.00000000E-01  7.21576198E-01
  6.10000000E-01  7.23537126E-01
  6.20000000E-01  7.25493374E-01
  6.30000000E-01  7.27432303E-01
  6.40000000E-01  7.29372149E-01
  6.50000000E-01  7.31292445E-01
  6.60000000E-01  7.33221166E-01
  6.70000000E-01  7.35127409E-01
  6.80000000E-01  7.37051778E-01
  6.90000000E-01  7.38949932E-01
  7.00000000E-01  7.40878459E-01
  7.10000000E-01  7.42776090E-01
  7.20000000E-01  7.44719368E-01
  7.30000000E-01  7.46625952E-01
  7.40000000E-01  7.48597163E-01
  7.50000000E-01  7.50524534E-01
  7.60000000E-01  7.52540223E-01
  7.70000000E-01  7.54503268E-01
  7.80000000E-01  7.56584530E-01
  7.90000000E-01  7.58602263E-01
  8.00000000E-01  7.60776634E-01
  8.10000000E-01  7.62873946E-01
  8.20000000E-01  7.65178488E-01
  8.30000000E-01  7.67389069E-01
  8.40000000E-01  7.69875663E-01
  8.50000000E-01  7.72247154E-01
  8.60000000E-01  7.74992068E-01
  8.70000000E-01  7.77595677E-01
  8.80000000E-01  7.80718188E-01
  8.90000000E-01  7.83668140E-01
  9.00000000E-01  7.87370265E-01
  9.10000000E-01  7.90867297E-01
  9.20000000E-01  7.95529772E-01
  9.30000000E-01  7.99972900E-01
  9.40000000E-01  8.06431332E-01
  9.50000000E-01  8.12768775E-01
  9.60000000E-01  8.23353013E-01
  9.70000000E-01  8.34594757E-01
  9.80000000E-01  8.59427518E-01
  9.90000000E-01  8.92071861E-01
  1.00000000E+00  1.00000000E+00
