 ######################################################################
 #Data for Case=           9
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001     10000  8.59000015E+00  8.76551522E+00  7.41064758E+00  3.46260971E-01  5.01532230E-02
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  7.70785585E-05  7.37927340E-03
  1.54164825E-04  1.47583826E-02
  2.31258801E-04  2.21376488E-02
  3.08360487E-04  2.95166136E-02
  3.85469883E-04  3.68957350E-02
  4.62586990E-04  4.42730574E-02
  5.39711810E-04  5.16505359E-02
  6.16844342E-04  5.90229941E-02
  6.93984588E-04  6.63956089E-02
  7.71132549E-04  7.37576713E-02
  8.48288224E-04  8.11198970E-02
  9.25451616E-04  8.84632375E-02
  1.00262272E-03  9.58067695E-02
  1.07980155E-03  1.03119937E-01
  1.15698809E-03  1.10433377E-01
  1.23418236E-03  1.17701683E-01
  1.31138434E-03  1.24970451E-01
  1.38859404E-03  1.32176150E-01
  1.46581147E-03  1.39382690E-01
  1.54303662E-03  1.46505485E-01
  1.62026949E-03  1.53629793E-01
  1.69751008E-03  1.60647671E-01
  1.77475840E-03  1.67668143E-01
  1.85201444E-03  1.74558478E-01
  1.92927821E-03  1.81452990E-01
  2.00654971E-03  1.88193766E-01
  2.08382893E-03  1.94940862E-01
  2.16111588E-03  2.01511860E-01
  2.23841056E-03  2.08091874E-01
  2.31571297E-03  2.14475658E-01
  2.39302311E-03  2.20871631E-01
  2.47034099E-03  2.27054223E-01
  2.54766659E-03  2.33252515E-01
  2.62499993E-03  2.39223706E-01
  2.70234100E-03  2.45214275E-01
  2.77968981E-03  2.50967617E-01
  2.85704635E-03  2.56744002E-01
  2.93441063E-03  2.62276536E-01
  3.01178264E-03  2.67835602E-01
  3.08916239E-03  2.73147430E-01
  3.16654988E-03  2.78488970E-01
  3.24394511E-03  2.83582738E-01
  3.32134808E-03  2.88709000E-01
  3.39875879E-03  2.93589374E-01
  3.47617724E-03  2.98504572E-01
  3.55360344E-03  3.03177747E-01
  3.63103737E-03  3.07887607E-01
  3.70847905E-03  3.12360868E-01
  3.78592848E-03  3.16872214E-01
  3.86338565E-03  3.21153567E-01
  3.94085056E-03  3.25473974E-01
  4.01832323E-03  3.29571852E-01
  4.09580364E-03  3.33709359E-01
  4.17329180E-03  3.37632381E-01
  4.25078771E-03  3.41595261E-01
  4.32829136E-03  3.45352053E-01
  4.40580277E-03  3.49148634E-01
  4.48332193E-03  3.52747695E-01
  4.56084885E-03  3.56386226E-01
  4.63838351E-03  3.59835830E-01
  4.71592593E-03  3.63324377E-01
  4.79347611E-03  3.66632507E-01
  4.87103404E-03  3.69978888E-01
  4.94859973E-03  3.73153191E-01
  5.02617317E-03  3.76364922E-01
  5.10375437E-03  3.79412687E-01
  5.18134333E-03  3.82496954E-01
  5.25894005E-03  3.85425094E-01
  5.33654453E-03  3.88388739E-01
  5.41415677E-03  3.91203793E-01
  5.49177677E-03  3.94053301E-01
  5.56940453E-03  3.96761437E-01
  5.64704006E-03  3.99502945E-01
  5.72468335E-03  4.02109970E-01
  5.80233440E-03  4.04749266E-01
  5.87999323E-03  4.07260638E-01
  5.95765981E-03  4.09803176E-01
  6.03533417E-03  4.12224023E-01
  6.11301629E-03  4.14674936E-01
  6.19070618E-03  4.17010068E-01
  6.26840384E-03  4.19374178E-01
  6.34610927E-03  4.21628107E-01
  6.42382247E-03  4.23909947E-01
  6.50154344E-03  4.26086906E-01
  6.57927219E-03  4.28290731E-01
  6.65700871E-03  4.30394685E-01
  6.73475300E-03  4.32524490E-01
  6.81250507E-03  4.34559161E-01
  6.89026491E-03  4.36618696E-01
  6.96803253E-03  4.38587571E-01
  7.04580793E-03  4.40580358E-01
  7.12359110E-03  4.42486711E-01
  7.20138205E-03  4.44416054E-01
  7.27918079E-03  4.46262956E-01
  7.35698730E-03  4.48131961E-01
  7.43480159E-03  4.49922294E-01
  7.51262367E-03  4.51733878E-01
  7.59045353E-03  4.53470351E-01
  7.66829117E-03  4.55227255E-01
  7.74613660E-03  4.56912412E-01
  7.82398981E-03  4.58617214E-01
