 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  1.23528227E-02  1.10664055E+00
  1.24311366E-02  1.10680126E+00
  1.25094584E-02  1.10696188E+00
  1.25877879E-02  1.10712241E+00
  1.26661253E-02  1.10728284E+00
  1.27444706E-02  1.10744318E+00
  1.28228236E-02  1.10760342E+00
  1.29011845E-02  1.10776358E+00
  1.29795533E-02  1.10792363E+00
  1.30579299E-02  1.10808360E+00
  1.31363143E-02  1.10824347E+00
  1.32147065E-02  1.10840325E+00
  1.32931066E-02  1.10856294E+00
  1.33715146E-02  1.10872253E+00
  1.34499303E-02  1.10888202E+00
  1.35283540E-02  1.10904143E+00
  1.36067854E-02  1.10920074E+00
  1.36852247E-02  1.10935995E+00
  1.37636719E-02  1.10951907E+00
  1.38421269E-02  1.10967810E+00
  1.39205897E-02  1.10983704E+00
  1.39990604E-02  1.10999587E+00
  1.40775389E-02  1.11015462E+00
  1.41560253E-02  1.11031327E+00
  1.42345196E-02  1.11047183E+00
  1.43130216E-02  1.11063029E+00
  1.43915316E-02  1.11078866E+00
  1.44700494E-02  1.11094693E+00
  1.45485750E-02  1.11110511E+00
  1.46271085E-02  1.11126319E+00
  1.47056498E-02  1.11142118E+00
  1.47841990E-02  1.11157908E+00
  1.48627561E-02  1.11173688E+00
  1.49413210E-02  1.11189458E+00
  1.50198937E-02  1.11205219E+00
  1.50984744E-02  1.11220971E+00
  1.51770628E-02  1.11236713E+00
  1.52556592E-02  1.11252445E+00
  1.53342634E-02  1.11268168E+00
  1.54128754E-02  1.11283882E+00
  1.54914954E-02  1.11299586E+00
  1.55701232E-02  1.11315280E+00
  1.56487588E-02  1.11330965E+00
  1.57274023E-02  1.11346640E+00
  1.58060537E-02  1.11362306E+00
  1.58847129E-02  1.11377962E+00
  1.59633800E-02  1.11393609E+00
  1.60420550E-02  1.11409246E+00
  1.61207379E-02  1.11424874E+00
  1.61994286E-02  1.11440491E+00
  1.62781272E-02  1.11456100E+00
  1.63568336E-02  1.11471698E+00
  1.64355479E-02  1.11487288E+00
  1.65142701E-02  1.11502867E+00
  1.65930002E-02  1.11518437E+00
  1.66717381E-02  1.11533997E+00
  1.67504840E-02  1.11549548E+00
  1.68292377E-02  1.11565089E+00
  1.69079992E-02  1.11580620E+00
  1.69867687E-02  1.11596142E+00
  1.70655460E-02  1.11611654E+00
  1.71443312E-02  1.11627156E+00
  1.72231243E-02  1.11642649E+00
  1.73019252E-02  1.11658132E+00
  1.73807341E-02  1.11673606E+00
  1.74595508E-02  1.11689069E+00
  1.75383754E-02  1.11704523E+00
  1.76172079E-02  1.11719967E+00
  1.76960482E-02  1.11735402E+00
  1.77748965E-02  1.11750827E+00
  1.78537526E-02  1.11766242E+00
  1.79326166E-02  1.11781647E+00
  1.80114885E-02  1.11797043E+00
  1.80903683E-02  1.11812429E+00
  1.81692560E-02  1.11827805E+00
  1.82481516E-02  1.11843172E+00
  1.83270551E-02  1.11858528E+00
  1.84059664E-02  1.11873875E+00
  1.84848857E-02  1.11889212E+00
  1.85638128E-02  1.11904539E+00
  1.86427478E-02  1.11919857E+00
  1.87216908E-02  1.11935165E+00
  1.88006416E-02  1.11950463E+00
  1.88796003E-02  1.11965751E+00
  1.89585669E-02  1.11981029E+00
  1.90375414E-02  1.11996297E+00
  1.91165238E-02  1.12011556E+00
  1.91955141E-02  1.12026805E+00
  1.92745123E-02  1.12042044E+00
  1.93535185E-02  1.12057272E+00
  1.94325325E-02  1.12072492E+00
  1.95115544E-02  1.12087701E+00
  1.95905842E-02  1.12102901E+00
  1.96696219E-02  1.12118090E+00
  1.97486675E-02  1.12133270E+00
