 ######################################################################
 #Data for Case=           6
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000001E-01     101       461  8.59000015E+00  8.60010931E+00  5.90363606E+00  3.17336755E-01  7.95149048E-02
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  3.56721586E-04  1.87441444E-02
  7.50959909E-04  3.94438542E-02
  1.18666064E-03  6.23089773E-02
  1.66818442E-03  8.74351718E-02
  2.20035049E-03  1.15117064E-01
  2.78848496E-03  1.44733317E-01
  3.43847408E-03  1.76892486E-01
  4.15682314E-03  2.08895392E-01
  4.95072164E-03  2.42476720E-01
  5.82811518E-03  2.72763531E-01
  6.79778500E-03  3.03554747E-01
  7.86943588E-03  3.29635347E-01
  9.05379328E-03  3.55759558E-01
  1.03627106E-02  3.77495336E-01
  1.18092880E-02  3.99089241E-01
  1.34080033E-02  4.17193581E-01
  1.51748569E-02  4.35062628E-01
  1.71275322E-02  4.50328155E-01
  1.92855721E-02  4.65320923E-01
  2.16705750E-02  4.78419260E-01
  2.43064109E-02  4.91247900E-01
  2.72194601E-02  5.02710330E-01
  3.04388773E-02  5.13931799E-01
  3.39968836E-02  5.24171454E-01
  3.79290887E-02  5.34212047E-01
  4.22748474E-02  5.43549598E-01
  4.70776536E-02  5.52734163E-01
  5.23855753E-02  5.61418545E-01
  5.82517360E-02  5.69994393E-01
  6.47348463E-02  5.78218354E-01
  7.18997912E-02  5.86373575E-01
  7.98182799E-02  5.94286390E-01
  8.85695634E-02  6.02165478E-01
  9.82412275E-02  6.09885974E-01
  1.08930069E-01  6.17606189E-01
  1.20743066E-01  6.25238615E-01
  1.33798447E-01  6.32909038E-01
  1.48226875E-01  6.40562231E-01
  1.64172753E-01  6.48305129E-01
  1.81795674E-01  6.56113558E-01
  2.01272014E-01  6.64086466E-01
  2.22796698E-01  6.72231712E-01
  2.46585154E-01  6.80649149E-01
  2.72875463E-01  6.89380136E-01
  3.01930748E-01  6.98530842E-01
  3.34041804E-01  7.08172279E-01
  3.69530009E-01  7.18409276E-01
  4.08750541E-01  7.29315174E-01
  4.52095933E-01  7.40949413E-01
  5.00000000E-01  7.53314215E-01
  5.47904067E-01  7.65163267E-01
  5.91249459E-01  7.75438252E-01
  6.30469991E-01  7.84401376E-01
  6.65958196E-01  7.92286827E-01
  6.98069252E-01  7.99297673E-01
  7.27124537E-01  8.05611590E-01
  7.53414846E-01  8.11364385E-01
  7.77203302E-01  8.16682220E-01
  7.98727986E-01  8.21649431E-01
  8.18204326E-01  8.26358800E-01
  8.35827247E-01  8.30860685E-01
  8.51773125E-01  8.35229103E-01
  8.66201553E-01  8.39492546E-01
  8.79256934E-01  8.43715837E-01
  8.91069931E-01  8.47912891E-01
  9.01758773E-01  8.52145403E-01
  9.11430437E-01  8.56416706E-01
  9.20181720E-01  8.60789174E-01
  9.28100209E-01  8.65257256E-01
  9.35265154E-01  8.69886042E-01
  9.41748264E-01  8.74660860E-01
  9.47614425E-01  8.79649479E-01
  9.52922346E-01  8.84825736E-01
  9.57725153E-01  8.90256792E-01
  9.62070911E-01  8.95899857E-01
  9.66003116E-01  9.01812947E-01
  9.69561123E-01  9.07928226E-01
  9.72780540E-01  9.14279141E-01
  9.75693589E-01  9.20763088E-01
  9.78329425E-01  9.27370243E-01
  9.80714428E-01  9.33962269E-01
  9.82872468E-01  9.40481847E-01
  9.84825143E-01  9.46782171E-01
  9.86591997E-01  9.52792217E-01
  9.88190712E-01  9.58410305E-01
  9.89637289E-01  9.63601922E-01
  9.90946207E-01  9.68337265E-01
  9.92130564E-01  9.72628060E-01
  9.93202215E-01  9.76492559E-01
  9.94171885E-01  9.79964569E-01
  9.95049278E-01  9.83077936E-01
  9.95843177E-01  9.85868738E-01
  9.96561526E-01  9.88370060E-01
  9.97211515E-01  9.90612922E-01
  9.97799650E-01  9.92625000E-01
  9.98331816E-01  9.94431199E-01
  9.98813339E-01  9.96053584E-01
  9.99249040E-01  9.97511774E-01
  9.99643278E-01  9.98823148E-01
  1.00000000E+00  1.00000000E+00
