 ######################################################################
 #Data for Case=           9
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  1.00000001E-01     101      1856  8.59000015E+00  8.69965745E+00  6.70579452E+00  3.47027645E-01  4.45400880E-02
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  3.56721586E-04  3.43028709E-02
  7.50959909E-04  7.21220275E-02
  1.18666064E-03  1.13864002E-01
  1.66818442E-03  1.58276960E-01
  2.20035049E-03  2.06515155E-01
  2.78848496E-03  2.51264921E-01
  3.43847408E-03  2.97868223E-01
  4.15682314E-03  3.34916005E-01
  4.95072164E-03  3.72936234E-01
  5.82811518E-03  4.01720662E-01
  6.79778500E-03  4.31221716E-01
  7.86943588E-03  4.53898031E-01
  9.05379328E-03  4.76977700E-01
  1.03627106E-02  4.95387697E-01
  1.18092880E-02  5.13952142E-01
  1.34080033E-02  5.29373544E-01
  1.51748569E-02  5.44806062E-01
  1.71275322E-02  5.58113912E-01
  1.92855721E-02  5.71370348E-01
  2.16705750E-02  5.83175787E-01
  2.43064109E-02  5.94915208E-01
  2.72194601E-02  6.05652892E-01
  3.04388773E-02  6.16333142E-01
  3.39968836E-02  6.26313775E-01
  3.79290887E-02  6.36252730E-01
  4.22748474E-02  6.45695280E-01
  4.70776536E-02  6.55109955E-01
  5.23855753E-02  6.64164011E-01
  5.82517360E-02  6.73198786E-01
  6.47348463E-02  6.81964356E-01
  7.18997912E-02  6.90715932E-01
  7.98182799E-02  6.99264157E-01
  8.85695634E-02  7.07805780E-01
  9.82412275E-02  7.16199733E-01
  1.08930069E-01  7.24603076E-01
  1.20743066E-01  7.32915930E-01
  1.33798447E-01  7.41268727E-01
  1.48226875E-01  7.49598469E-01
  1.64172753E-01  7.58018941E-01
  1.81795674E-01  7.66501881E-01
  2.01272014E-01  7.75153154E-01
  2.22796698E-01  7.83979078E-01
  2.46585154E-01  7.93085510E-01
  2.72875463E-01  8.02513682E-01
  3.01930748E-01  8.12373839E-01
  3.34041804E-01  8.22736125E-01
  3.69530009E-01  8.33704563E-01
  4.08750541E-01  8.45345351E-01
  4.52095933E-01  8.57704474E-01
  5.00000000E-01  8.70759175E-01
  5.47904067E-01  8.83197020E-01
  5.91249459E-01  8.93897549E-01
  6.30469991E-01  9.03160860E-01
  6.65958196E-01  9.11243804E-01
  6.98069252E-01  9.18370159E-01
  7.27124537E-01  9.24731350E-01
  7.53414846E-01  9.30474090E-01
  7.77203302E-01  9.35729979E-01
  7.98727986E-01  9.40587920E-01
  8.18204326E-01  9.45139907E-01
  8.35827247E-01  9.49436646E-01
  8.51773125E-01  9.53546223E-01
  8.66201553E-01  9.57494307E-01
  8.79256934E-01  9.61334710E-01
  8.91069931E-01  9.65075634E-01
  9.01758773E-01  9.68761860E-01
  9.11430437E-01  9.72387847E-01
  9.20181720E-01  9.75991451E-01
  9.28100209E-01  9.79554360E-01
  9.35265154E-01  9.83106807E-01
  9.41748264E-01  9.86616311E-01
  9.47614425E-01  9.90101482E-01
  9.52922346E-01  9.93511854E-01
  9.57725153E-01  9.96846192E-01
  9.62070911E-01  1.00003039E+00
  9.66003116E-01  1.00303195E+00
  9.69561123E-01  1.00575134E+00
  9.72780540E-01  1.00812277E+00
  9.75693589E-01  1.01004606E+00
  9.78329425E-01  1.01146728E+00
  9.80714428E-01  1.01236156E+00
  9.82872468E-01  1.01276569E+00
  9.84825143E-01  1.01275532E+00
  9.86591997E-01  1.01242660E+00
  9.88190712E-01  1.01187017E+00
  9.89637289E-01  1.01115321E+00
  9.90946207E-01  1.01032839E+00
  9.92130564E-01  1.00943685E+00
  9.93202215E-01  1.00851101E+00
  9.94171885E-01  1.00757556E+00
  9.95049278E-01  1.00664926E+00
  9.95843177E-01  1.00574577E+00
  9.96561526E-01  1.00487489E+00
  9.97211515E-01  1.00404324E+00
  9.97799650E-01  1.00325507E+00
  9.98331816E-01  1.00251273E+00
  9.98813339E-01  1.00181715E+00
  9.99249040E-01  1.00116823E+00
  9.99643278E-01  1.00056507E+00
  1.00000000E+00  1.00000000E+00
