 ######################################################################
 #Data for Case=           5
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      2196  1.28400002E+01  1.29926979E+01  8.49020155E+00  4.05329640E-01  1.86901352E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  5.59318857E-02
  1.95061171E-03  1.10044632E-01
  2.92606386E-03  1.64149005E-01
  3.90161357E-03  2.04135537E-01
  4.87726084E-03  2.45665302E-01
  5.85300568E-03  2.70371975E-01
  6.82884809E-03  2.98256448E-01
  7.80478810E-03  3.14748779E-01
  8.78082571E-03  3.33882289E-01
  9.75696092E-03  3.45861822E-01
  1.07331938E-02  3.59682489E-01
  1.17095242E-02  3.68905496E-01
  1.26859523E-02  3.79387025E-01
  1.36624781E-02  3.86785254E-01
  1.46391015E-02  3.95061613E-01
  1.56158225E-02  4.01180692E-01
  1.65926413E-02  4.07930987E-01
  1.75695577E-02  4.13114276E-01
  1.85465718E-02  4.18764955E-01
  1.95236837E-02  4.23240359E-01
  2.05008932E-02  4.28071290E-01
  2.14782005E-02  4.31996466E-01
  2.24556055E-02  4.36198566E-01
  2.34331083E-02  4.39686283E-01
  2.44107088E-02  4.43394207E-01
  2.53884071E-02  4.46527402E-01
  2.63662031E-02  4.49838888E-01
  2.73440970E-02  4.52680008E-01
  2.83220886E-02  4.55667778E-01
  2.93001780E-02  4.58264810E-01
  3.02783653E-02  4.60984151E-01
  3.12566504E-02  4.63374623E-01
  3.22350333E-02  4.65868366E-01
  3.32135140E-02  4.68082092E-01
  3.41920926E-02  4.70383971E-01
  3.51707691E-02  4.72444966E-01
  3.61495434E-02  4.74581947E-01
  3.71284157E-02  4.76509791E-01
  3.81073858E-02  4.78503712E-01
  3.90864538E-02  4.80314554E-01
  4.00656197E-02  4.82183311E-01
  4.10448836E-02  4.83890600E-01
  4.20242454E-02  4.85649016E-01
  4.30037051E-02  4.87264059E-01
  4.39832628E-02  4.88924530E-01
  4.49629184E-02  4.90456910E-01
  4.59426720E-02  4.92029896E-01
  4.69225236E-02  4.93487800E-01
  4.79024731E-02  4.94982197E-01
  4.88825207E-02  4.96372669E-01
  4.98626663E-02  4.97796101E-01
  5.08429099E-02  4.99125240E-01
  5.18232515E-02  5.00484283E-01
  5.28036912E-02  5.01757405E-01
  5.37842289E-02  5.03057772E-01
  5.47648647E-02  5.04279531E-01
  5.57455986E-02  5.05526211E-01
  5.67264305E-02  5.06700710E-01
  5.77073605E-02  5.07898086E-01
  5.86883886E-02  5.09028956E-01
  5.96695148E-02  5.10180895E-01
  6.06507392E-02  5.11271365E-01
  6.16320616E-02  5.12381299E-01
  6.26134822E-02  5.13434253E-01
  6.35950010E-02  5.14505240E-01
  6.45766179E-02  5.15523266E-01
  6.55583330E-02  5.16558043E-01
  6.65401462E-02  5.17543468E-01
  6.75220576E-02  5.18544493E-01
  6.85040673E-02  5.19499423E-01
  6.94861751E-02  5.20468912E-01
  7.04683812E-02  5.21395254E-01
  7.14506854E-02  5.22335214E-01
  7.24330880E-02  5.23234704E-01
  7.34155887E-02  5.24146956E-01
  7.43981877E-02  5.25021176E-01
  7.53808850E-02  5.25907379E-01
  7.63636806E-02  5.26757777E-01
  7.73465744E-02  5.27619447E-01
  7.83295665E-02  5.28447353E-01
  7.93126570E-02  5.29285878E-01
  8.02958457E-02  5.30092512E-01
  8.12791328E-02  5.30909167E-01
  8.22625182E-02  5.31695657E-01
  8.32460019E-02  5.32491615E-01
  8.42295840E-02  5.33259002E-01
  8.52132645E-02  5.34035348E-01
  8.61970433E-02  5.34784595E-01
  8.71809206E-02  5.35542330E-01
  8.81648962E-02  5.36274332E-01
  8.91489702E-02  5.37014386E-01
  9.01331426E-02  5.37729975E-01
  9.11174135E-02  5.38453209E-01
  9.21017828E-02  5.39153159E-01
  9.30862505E-02  5.39860378E-01
  9.40708167E-02  5.40545412E-01
  9.50554813E-02  5.41237363E-01
  9.60402444E-02  5.41908158E-01
  9.70251060E-02  5.42585540E-01
  9.80100661E-02  5.43242727E-01
  9.89951247E-02  5.43906195E-01
  9.99802818E-02  5.44550367E-01
  1.00965537E-01  5.45200533E-01
  1.01950892E-01  5.45832247E-01
  1.02936344E-01  5.46469685E-01
  1.03921895E-01  5.47089466E-01
  1.04907545E-01  5.47714716E-01
  1.05893294E-01  5.48323055E-01
  1.06879141E-01  5.48936626E-01
  1.07865086E-01  5.49533988E-01
  1.08851130E-01  5.50136357E-01
  1.09837273E-01  5.50723182E-01
  1.10823514E-01  5.51314801E-01
  1.11809854E-01  5.51891501E-01
  1.12796293E-01  5.52472796E-01
  1.13782830E-01  5.53039765E-01
  1.14769466E-01  5.53611139E-01
  1.15756201E-01  5.54168746E-01
  1.16743034E-01  5.54730580E-01
  1.17729966E-01  5.55279177E-01
  1.18716997E-01  5.55831833E-01
  1.19704126E-01  5.56371754E-01
  1.20691354E-01  5.56915573E-01
  1.21678681E-01  5.57447136E-01
  1.22666107E-01  5.57982443E-01
  1.23653631E-01  5.58505948E-01
  1.24641254E-01  5.59033052E-01
  1.25628976E-01  5.59548785E-01
  1.26616796E-01  5.60067981E-01
  1.27604716E-01  5.60576214E-01
  1.28592734E-01  5.61087780E-01
  1.29580851E-01  5.61588775E-01
  1.30569067E-01  5.62092977E-01
  1.31557381E-01  5.62586979E-01
  1.32545795E-01  5.63084071E-01
  1.33534307E-01  5.63571319E-01
  1.34522918E-01  5.64061542E-01
  1.35511629E-01  5.64542260E-01
  1.36500437E-01  5.65025846E-01
