 ######################################################################
 #Data for Case=           2
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001      2273  1.28400002E+01  1.31295757E+01  7.27693601E+00  3.45793521E-01  2.57381346E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/VW	
  0.00000000E+00  0.00000000E+00
  9.75257087E-04  4.07076880E-02
  1.95061171E-03  8.06851745E-02
  2.92606386E-03  1.20655410E-01
  3.90161357E-03  1.53658802E-01
  4.87726084E-03  1.87205473E-01
  5.85300568E-03  2.09578652E-01
  6.82884809E-03  2.33761575E-01
  7.80478810E-03  2.49058501E-01
  8.78082571E-03  2.66246168E-01
  9.75696092E-03  2.77397446E-01
  1.07331938E-02  2.90018067E-01
  1.17095242E-02  2.98589587E-01
  1.26859523E-02  3.08226652E-01
  1.36624781E-02  3.15080459E-01
  1.46391015E-02  3.22704060E-01
  1.56158225E-02  3.28351478E-01
  1.65926413E-02  3.34564285E-01
  1.75695577E-02  3.39328831E-01
  1.85465718E-02  3.44517843E-01
  1.95236837E-02  3.48614859E-01
  2.05008932E-02  3.53037681E-01
  2.14782005E-02  3.56616395E-01
  2.24556055E-02  3.60450393E-01
  2.34331083E-02  3.63617657E-01
  2.44107088E-02  3.66988699E-01
  2.53884071E-02  3.69823142E-01
  2.63662031E-02  3.72822967E-01
  2.73440970E-02  3.75383807E-01
  2.83220886E-02  3.78080856E-01
  2.93001780E-02  3.80413591E-01
  3.02783653E-02  3.82859988E-01
  3.12566504E-02  3.85000190E-01
  3.22350333E-02  3.87236354E-01
  3.32135140E-02  3.89212265E-01
  3.41920926E-02  3.91270047E-01
  3.51707691E-02  3.93104397E-01
  3.61495434E-02  3.95009255E-01
  3.71284157E-02  3.96720563E-01
  3.81073858E-02  3.98493109E-01
  3.90864538E-02  4.00096627E-01
  4.00656197E-02  4.01753743E-01
  4.10448836E-02  4.03262157E-01
  4.20242454E-02  4.04817813E-01
  4.30037051E-02  4.06241776E-01
  4.39832628E-02  4.07707642E-01
  4.49629184E-02  4.09056166E-01
  4.59426720E-02  4.10442078E-01
  4.69225236E-02  4.11722850E-01
  4.79024731E-02  4.13037160E-01
  4.88825207E-02  4.14256781E-01
  4.98626663E-02  4.15506635E-01
  5.08429099E-02  4.16670810E-01
  5.18232515E-02  4.17862362E-01
  5.28036912E-02  4.18976050E-01
  5.37842289E-02  4.20114635E-01
  5.47648647E-02  4.21182174E-01
  5.57455986E-02  4.22272441E-01
  5.67264305E-02  4.23297641E-01
  5.77073605E-02  4.24343665E-01
  5.86883886E-02  4.25329891E-01
  5.96695148E-02  4.26335261E-01
  6.06507392E-02  4.27285499E-01
  6.16320616E-02  4.28253392E-01
  6.26134822E-02  4.29170301E-01
  6.35950010E-02  4.30103539E-01
  6.45766179E-02  4.30989499E-01
  6.55583330E-02  4.31890603E-01
  6.65401462E-02  4.32747748E-01
  6.75220576E-02  4.33618975E-01
  6.85040673E-02  4.34449232E-01
  6.94861751E-02  4.35292613E-01
  7.04683812E-02  4.36097721E-01
  7.14506854E-02  4.36915088E-01
  7.24330880E-02  4.37696626E-01
  7.34155887E-02  4.38489640E-01
  7.43981877E-02  4.39249043E-01
  7.53808850E-02  4.40019210E-01
  7.63636806E-02  4.40757789E-01
  7.73465744E-02  4.41506482E-01
  7.83295665E-02  4.42225436E-01
  7.93126570E-02  4.42953909E-01
  8.02958457E-02  4.43654337E-01
  8.12791328E-02  4.44363740E-01
  8.22625182E-02  4.45046653E-01
  8.32460019E-02  4.45738041E-01
  8.42295840E-02  4.46404370E-01
  8.52132645E-02  4.47078714E-01
  8.61970433E-02  4.47729321E-01
