 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001     10000  3.75000000E+00  3.89141528E+00  2.40556218E+00  4.07549113E-02  1.34681244E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/UAVG	
  7.04009707E-01  6.90944372E-01
  7.05014464E-01  6.90784426E-01
  7.06019121E-01  6.90624125E-01
  7.07023677E-01  6.90463096E-01
  7.08028133E-01  6.90301708E-01
  7.09032488E-01  6.90139572E-01
  7.10036743E-01  6.89977070E-01
  7.11040897E-01  6.89813801E-01
  7.12044951E-01  6.89650161E-01
  7.13048905E-01  6.89485731E-01
  7.14052758E-01  6.89320924E-01
  7.15056511E-01  6.89155307E-01
  7.16060164E-01  6.88989306E-01
  7.17063716E-01  6.88822471E-01
  7.18067168E-01  6.88655247E-01
  7.19070519E-01  6.88487167E-01
  7.20073770E-01  6.88318690E-01
  7.21076921E-01  6.88149332E-01
  7.22079971E-01  6.87979571E-01
  7.23082922E-01  6.87808904E-01
  7.24085771E-01  6.87637827E-01
  7.25088521E-01  6.87465819E-01
  7.26091170E-01  6.87293393E-01
  7.27093720E-01  6.87120009E-01
  7.28096168E-01  6.86946201E-01
  7.29098517E-01  6.86771406E-01
  7.30100765E-01  6.86596179E-01
  7.31102913E-01  6.86419938E-01
  7.32104961E-01  6.86243255E-01
  7.33106909E-01  6.86065530E-01
  7.34108757E-01  6.85887354E-01
  7.35110504E-01  6.85708105E-01
  7.36112151E-01  6.85528398E-01
  7.37113698E-01  6.85347586E-01
  7.38115145E-01  6.85166306E-01
  7.39116492E-01  6.84983888E-01
  7.40117738E-01  6.84800994E-01
  7.41118885E-01  6.84616928E-01
  7.42119931E-01  6.84432375E-01
  7.43120878E-01  6.84246618E-01
  7.44121724E-01  6.84060362E-01
  7.45122470E-01  6.83872865E-01
  7.46123116E-01  6.83684859E-01
  7.47123662E-01  6.83495576E-01
  7.48124108E-01  6.83305772E-01
  7.49124454E-01  6.83114653E-01
  7.50124700E-01  6.82923001E-01
  7.51124845E-01  6.82729994E-01
  7.52124891E-01  6.82536442E-01
  7.53124837E-01  6.82341495E-01
  7.54124683E-01  6.82145989E-01
  7.55124429E-01  6.81949046E-01
  7.56124075E-01  6.81751531E-01
  7.57123621E-01  6.81552534E-01
  7.58123067E-01  6.81352953E-01
  7.59122413E-01  6.81151843E-01
  7.60121659E-01  6.80950134E-01
  7.61120805E-01  6.80746851E-01
  7.62119851E-01  6.80542953E-01
  7.63118798E-01  6.80337431E-01
  7.64117644E-01  6.80131279E-01
  7.65116391E-01  6.79923453E-01
  7.66115038E-01  6.79714980E-01
  7.67113585E-01  6.79504781E-01
  7.68112032E-01  6.79293918E-01
  7.69110379E-01  6.79081274E-01
  7.70108626E-01  6.78867947E-01
  7.71106774E-01  6.78652784E-01
  7.72104821E-01  6.78436920E-01
  7.73102769E-01  6.78219161E-01
  7.74100618E-01  6.78000681E-01
  7.75098366E-01  6.77780245E-01
  7.76096015E-01  6.77559067E-01
  7.77093563E-01  6.77335871E-01
  7.78091012E-01  6.77111912E-01
  7.79088362E-01  6.76885869E-01
  7.80085611E-01  6.76659041E-01
  7.81082761E-01  6.76430061E-01
  7.82079812E-01  6.76200271E-01
  7.83076762E-01  6.75968260E-01
  7.84073613E-01  6.75735415E-01
  7.85070364E-01  6.75500275E-01
  7.86067015E-01  6.75264274E-01
  7.87063567E-01  6.75025903E-01
  7.88060019E-01  6.74786644E-01
  7.89056372E-01  6.74544935E-01
  7.90052625E-01  6.74302311E-01
  7.91048778E-01  6.74057155E-01
  7.92044832E-01  6.73811052E-01
  7.93040786E-01  6.73562332E-01
  7.94036640E-01  6.73312636E-01
  7.95032395E-01  6.73060232E-01
  7.96028050E-01  6.72806819E-01
  7.97023606E-01  6.72550606E-01
  7.98019062E-01  6.72293349E-01
  7.99014419E-01  6.72033195E-01
  8.00009676E-01  6.71771962E-01
  8.01004834E-01  6.71507731E-01
  8.01999892E-01  6.71242383E-01
  8.02994850E-01  6.70973931E-01
  8.03989709E-01  6.70704323E-01
  8.04984469E-01  6.70431502E-01
  8.05979129E-01  6.70157482E-01
  8.06973690E-01  6.69880135E-01
  8.07968151E-01  6.69601546E-01
  8.08962513E-01  6.69319510E-01
  8.09956775E-01  6.69036185E-01
  8.10950938E-01  6.68749288E-01
  8.11945002E-01  6.68461055E-01
  8.12938966E-01  6.68169120E-01
  8.13932831E-01  6.67875797E-01
  8.14926596E-01  6.67578635E-01
  8.15920262E-01  6.67280032E-01
  8.16913828E-01  6.66977447E-01
  8.17907296E-01  6.66673365E-01
  8.18900664E-01  6.66365152E-01
  8.19893932E-01  6.66055383E-01
  8.20887102E-01  6.65741325E-01
  8.21880172E-01  6.65425649E-01
  8.22873142E-01  6.65105521E-01
  8.23866014E-01  6.64783709E-01
  8.24858786E-01  6.64457274E-01
  8.25851458E-01  6.64129084E-01
  8.26844032E-01  6.63796091E-01
  8.27836506E-01  6.63461271E-01
  8.28828881E-01  6.63121459E-01
  8.29821157E-01  6.62779742E-01
  8.30813334E-01  6.62432835E-01
  8.31805411E-01  6.62083941E-01
  8.32797389E-01  6.61729650E-01
  8.33789268E-01  6.61373286E-01
  8.34781048E-01  6.61011306E-01
  8.35772729E-01  6.60647161E-01
  8.36764310E-01  6.60277171E-01
  8.37755793E-01  6.59904920E-01
  8.38747176E-01  6.59526582E-01
  8.39738460E-01  6.59145881E-01
  8.40729645E-01  6.58758839E-01
  8.41720730E-01  6.58369325E-01
  8.42711717E-01  6.57973204E-01
  8.43702605E-01  6.57574496E-01
  8.44693393E-01  6.57168899E-01
  8.45684083E-01  6.56760594E-01
  8.46674673E-01  6.56345103E-01
  8.47665164E-01  6.55926775E-01
  8.48655557E-01  6.55500948E-01
  8.49645850E-01  6.55072147E-01
  8.50636044E-01  6.54635517E-01
  8.51626139E-01  6.54195769E-01
  8.52616136E-01  6.53747843E-01
  8.53606033E-01  6.53296644E-01
  8.54595831E-01  6.52836898E-01
  8.55585530E-01  6.52373716E-01
  8.56575131E-01  6.51901599E-01
  8.57564632E-01  6.51425870E-01
  8.58554034E-01  6.50940795E-01
  8.59543338E-01  6.50451922E-01
  8.60532542E-01  6.49953267E-01
  8.61521648E-01  6.49450617E-01
  8.62510655E-01  6.48937723E-01
  8.63499563E-01  6.48420624E-01
  8.64488371E-01  6.47892792E-01
  8.65477082E-01  6.47360530E-01
  8.66465693E-01  6.46817016E-01
  8.67454205E-01  6.46268832E-01
  8.68442619E-01  6.45708848E-01
  8.69430933E-01  6.45143936E-01
  8.70419149E-01  6.44566640E-01
  8.71407266E-01  6.43984142E-01
  8.72395284E-01  6.43388640E-01
  8.73383204E-01  6.42787643E-01
  8.74371024E-01  6.42172982E-01
  8.75358746E-01  6.41552512E-01
  8.76346369E-01  6.40917677E-01
  8.77333893E-01  6.40276696E-01
  8.78321319E-01  6.39620603E-01
  8.79308646E-01  6.38958004E-01
  8.80295874E-01  6.38279497E-01
  8.81283003E-01  6.37594097E-01
  8.82270034E-01  6.36891938E-01
  8.83256966E-01  6.36182473E-01
  8.84243799E-01  6.35455343E-01
  8.85230534E-01  6.34720459E-01
  8.86217170E-01  6.33966943E-01
  8.87203707E-01  6.33205194E-01
  8.88190146E-01  6.32423777E-01
  8.89176486E-01  6.31633611E-01
  8.90162727E-01  6.30822671E-01
  8.91148870E-01  6.30002424E-01
  8.92134914E-01  6.29160218E-01
  8.93120859E-01  6.28308106E-01
  8.94106706E-01  6.27432765E-01
  8.95092455E-01  6.26546869E-01
  8.96078105E-01  6.25636384E-01
  8.97063656E-01  6.24714642E-01
  8.98049108E-01  6.23766850E-01
  8.99034463E-01  6.22807045E-01
  9.00019718E-01  6.21819618E-01
  9.01004875E-01  6.20819358E-01
  9.01989934E-01  6.19789789E-01
  9.02974894E-01  6.18746497E-01
  9.03959756E-01  6.17672080E-01
  9.04944519E-01  6.16582975E-01
  9.05929183E-01  6.15460787E-01
  9.06913750E-01  6.14322863E-01
  9.07898217E-01  6.13149747E-01
  9.08882587E-01  6.11959753E-01
  9.09866857E-01  6.10732291E-01
  9.10851030E-01  6.09486709E-01
  9.11835104E-01  6.08201198E-01
  9.12819079E-01  6.06896214E-01
  9.13802957E-01  6.05548641E-01
  9.14786735E-01  6.04180116E-01
  9.15770416E-01  6.02766122E-01
  9.16753998E-01  6.01329560E-01
  9.17737482E-01  5.99844409E-01
  9.18720867E-01  5.98334920E-01
  9.19704154E-01  5.96773458E-01
  9.20687343E-01  5.95185718E-01
  9.21670433E-01  5.93542330E-01
  9.22653426E-01  5.91870535E-01
  9.23636319E-01  5.90139095E-01
  9.24619115E-01  5.88376909E-01
  9.25601812E-01  5.86550731E-01
  9.26584411E-01  5.84691228E-01
  9.27566912E-01  5.82762997E-01
  9.28549315E-01  5.80798599E-01
  9.29531619E-01  5.78760309E-01
  9.30513825E-01  5.76682713E-01
  9.31495933E-01  5.74525586E-01
  9.32477942E-01  5.72325681E-01
  9.33459854E-01  5.70040084E-01
  9.34441667E-01  5.67707863E-01
  9.35423382E-01  5.65283209E-01
  9.36404999E-01  5.62807664E-01
  9.37386518E-01  5.60232307E-01
  9.38367938E-01  5.57601315E-01
  9.39349261E-01  5.54862426E-01
  9.40330485E-01  5.52062624E-01
  9.41311611E-01  5.49146060E-01
  9.42292639E-01  5.46162701E-01
  9.43273570E-01  5.43052852E-01
  9.44254401E-01  5.39869646E-01
  9.45235135E-01  5.36549276E-01
  9.46215771E-01  5.33148219E-01
  9.47196309E-01  5.29598284E-01
  9.48176748E-01  5.25959471E-01
  9.49157090E-01  5.22158927E-01
  9.50137334E-01  5.18260350E-01
  9.51117479E-01  5.14185952E-01
  9.52097527E-01  5.10003287E-01
  9.53077476E-01  5.05629386E-01
  9.54057328E-01  5.01135788E-01
  9.55037082E-01  4.96434125E-01
  9.56016737E-01  4.91600025E-01
  9.56996295E-01  4.86539560E-01
  9.57975755E-01  4.81332500E-01
  9.58955116E-01  4.75879287E-01
  9.59934380E-01  4.70263820E-01
  9.60913546E-01  4.64380970E-01
  9.61892614E-01  4.58318672E-01
  9.62871584E-01  4.51966468E-01
  9.63850457E-01  4.45416139E-01
  9.64829231E-01  4.38552394E-01
  9.65807907E-01  4.31470540E-01
  9.66786486E-01  4.24051302E-01
  9.67764967E-01  4.16393051E-01
  9.68743350E-01  4.08373825E-01
  9.69721635E-01  4.00094441E-01
  9.70699822E-01  3.91432113E-01
  9.71677911E-01  3.82489326E-01
  9.72655903E-01  3.73144992E-01
  9.73633797E-01  3.63502333E-01
  9.74611593E-01  3.53445182E-01
  9.75589291E-01  3.43076432E-01
  9.76566892E-01  3.32288668E-01
  9.77544394E-01  3.21183249E-01
  9.78521799E-01  3.09665661E-01
  9.79499107E-01  2.97834348E-01
  9.80476316E-01  2.85611550E-01
  9.81453428E-01  2.73091166E-01
  9.82430442E-01  2.60214882E-01
  9.83407359E-01  2.47070067E-01
  9.84384177E-01  2.33618468E-01
  9.85360899E-01  2.19938597E-01
  9.86337522E-01  2.06010313E-01
  9.87314048E-01  1.91900884E-01
  9.88290476E-01  1.77604088E-01
  9.89266806E-01  1.63174117E-01
  9.90243039E-01  1.48613386E-01
  9.91219174E-01  1.33962359E-01
  9.92195212E-01  1.19227162E-01
  9.93171152E-01  1.04435336E-01
  9.94146994E-01  8.95931626E-02
  9.95122739E-01  7.47172725E-02
  9.96098386E-01  5.98122139E-02
  9.97073936E-01  4.48863855E-02
  9.98049388E-01  2.99421299E-02
  9.99024743E-01  1.49824462E-02
  1.00000000E+00  0.00000000E+00
